referencia,abacco_id,linea,descripcion,iva,precio_unitario,cantidad,descuento,total_bruto
CO2511-3196,3812,7,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL -,"275,00",1,14%,"236,50",
CO2511-3247,3813,1,5000-4 - 5000-4 DORIPEL Dueto 4 puertas blanco,"0,00",1,,"0,00",
CO2511-3247,3813,2,CLOSET - 5000-4 DORIPEL Dueto 4 puertas blanco,"275,00",1,,"275,00",
CO2511-3198,3814,1,"10 - BL + BARCELONA MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-3198,3814,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3198,3814,3,450 - NEGRO,"0,00",1,,"0,00",
CO2511-3198,3814,4,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2511-3198,3814,5,"CAMAS - BL + BARCELONA MATRIMONIAL 1,40 x 1,90 - OTTOMAN - NEGRO - - 2 ALMOHADA OBSEQUIO -","240,00",1,30%,"168,00",
CO2511-3198,3814,6,5504 - BL + LINEAL MIXTA MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3198,3814,7,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3198,3814,8,437 - GRIS CLARO,"0,00",1,,"0,00",
CO2511-3198,3814,9,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2511-3198,3814,10,CAMAS - BL + LINEAL MIXTA MATRIMONIAL - OTTOMAN - GRIS CLARO - - 2 ALMOHADA OBSEQUIO -,"240,00",1,30%,"168,00",
CO2511-3198,3814,11,798 - DELUXE 2 PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3198,3814,12,COLCHONES - DELUXE 2 PILLOW - COBARCA - MATRIMONIAL -,"415,00",1,30%,"290,50",
CO2511-3198,3814,13,798 - DELUXE 2 PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3198,3814,14,COLCHONES - DELUXE 2 PILLOW - COBARCA - MATRIMONIAL -,"415,00",1,30%,"290,50",
CO2511-3199,3815,1,"1026 - BL + ITALO PROMO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-3199,3815,2,390 - LINO,"0,00",1,,"0,00",
CO2511-3199,3815,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2511-3199,3815,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3199,3815,5,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2511-3199,3815,6,"CAMAS - BL + ITALO PROMO MATRIMONIAL 1,40 x 1,90 - LINO - GRIS PLOMO - PATAS DECORATIVAS - 2 ALMOHADA OBSEQUIO - *cama en tienda*","165,00",1,,"165,00",
CO2511-3199,3815,7,782 - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3199,3815,8,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL -,"275,00",1,,"275,00",
CO2511-3200,3816,1,911 - MARRUECOS 2.30 x 2.30,"0,00",1,,"0,00",
CO2511-3200,3816,2,890 - TAPI POLO,"0,00",1,,"0,00",
CO2511-3200,3816,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2511-3200,3816,4,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2511-3200,3816,5,MUEBLES - MARRUECOS 2.30 x 2.30 - TAPI POLO - GRIS PLOMO - PATAS TIPO L -,"955,00",1,,"955,00",
CO2511-3202,3817,1,"102 - DT + LINEAL VERTICAL SIN MARCO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-3202,3817,2,403 - LINO T,"0,00",1,,"0,00",
CO2511-3202,3817,3,450 - NEGRO,"0,00",1,,"0,00",
CO2511-3202,3817,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3202,3817,5,"CAMAS - DT + LINEAL VERTICAL SIN MARCO MATRIMONIAL 1,40 x 1,90 - LINO T - NEGRO - PATAS DECORATIVAS - -","275,00",1,,"275,00",
CO2511-3203,3818,1,"901 - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2511-3203,3818,2,386 - BIPIEL BUFALO,"42,30",1,,"42,30",
CO2511-3203,3818,3,459 - ROSADO,"0,00",1,,"0,00",
CO2511-3203,3818,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3203,3818,5,"CAMAS - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90 - BIPIEL BUFALO - ROSADO - PATAS DECORATIVAS - 1 almohada obsequio","250,00",1,,"250,00",
CO2511-3203,3818,6,669 - DALLAS CLASSIC - COLFLEX - INDIVIDUAL,"0,00",1,,"0,00",
CO2511-3203,3818,7,COLCHONES - DALLAS CLASSIC - COLFLEX - INDIVIDUAL -,"300,00",1,,"300,00",
CO2511-3185,3795,1,1999-97 - 1999-97 MAXEL Escocia 4 puertas 2 gavetas negro,"0,00",1,,"0,00",
CO2511-3185,3795,2,CLOSET - 1999-97 MAXEL Escocia 4 puertas 2 gavetas negro,"330,00",1,,"330,00",
CO2511-3186,3796,1,52 - BL + ABSTRACTO sh KING,"0,00",1,,"0,00",
CO2511-3186,3796,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3186,3796,3,425 - BEIGE CLARO,"0,00",1,,"0,00",
CO2511-3186,3796,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3186,3796,5,CAMAS - BL + egipcio ver imagen de referencia sh KING - OTTOMAN - BEIGE CLARO - PATAS DECORATIVAS - -,"400,00",1,30%,"280,00",
CO2511-3186,3796,6,DELIVERY -,"10,00",1,,"10,00",
CO2511-3187,3797,1,"01 - BOX SOLO INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2511-3187,3797,2,890 - TAPI POLO,"0,00",1,,"0,00",
CO2511-3187,3797,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2511-3187,3797,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3187,3797,5,"CAMAS - BOX SOLO INDIVIDUAL 1,00 x 1,90 - TAPI POLO - GRIS PLOMO - PATAS DECORATIVAS - -","155,00",1,,"155,00",
CO2511-3187,3797,6,708 - AURORA QUEEN,"0,00",1,,"0,00",
CO2511-3187,3797,7,ALMOHADAS - AURORA QUEEN- *entregada *,"25,00",1,,"25,00",
CO2511-3187,3797,8,706 - PEQUEÑA,"0,00",1,,"0,00",
CO2511-3187,3797,9,ALMOHADAS - PEQUEÑA *entregada*,"10,00",1,,"10,00",
CO2511-3187,3797,10,673 - DALLAS PILLOW - COLFEX - INDIVIDUAL,"0,00",1,,"0,00",
CO2511-3187,3797,11,COLCHONES - DALLAS PILLOW - COLFEX - INDIVIDUAL -,"350,00",1,,"350,00",
CO2511-3187,3797,12,1000 - SERVICIO DELIVERY,"0,00",1,,"0,00",
CO2511-3187,3797,13,DELIVERY - SERVICIO DELIVERY,"15,00",1,,"15,00",
CO2511-3188,3798,1,"18 - BL + RELIEVE MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-3188,3798,2,403 - LINO T,"0,00",1,,"0,00",
CO2511-3188,3798,3,437 - GRIS CLARO,"0,00",1,,"0,00",
CO2511-3188,3798,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3188,3798,5,"CAMAS - BL + RELIEVE MATRIMONIAL 1,40 x 1,90 - LINO T - GRIS CLARO - PATAS DECORATIVAS - -","242,90",1,30%,"170,03",
CO2511-3338,3799,1,782 - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3338,3799,2,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL -,"275,00",1,,"275,00",
CO2511-3298,3800,1,74 - DT + CUADROS MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3298,3800,2,890 - TAPI POLO,"0,00",1,,"0,00",
CO2511-3298,3800,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2511-3298,3800,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3298,3800,5,CAMAS - DT + CUADROS MATRIMONIAL - ottoman negro - PATAS DECORATIVAS - -,"275,00",1,,"275,00",
CO2511-3189,3801,1,"10 - BL + BARCELONA MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-3189,3801,2,890 - TAPI POLO,"0,00",1,,"0,00",
CO2511-3189,3801,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2511-3189,3801,4,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2511-3189,3801,5,"CAMAS - BL + BARCELONA MATRIMONIAL 1,40 x 1,90 - TAPI POLO - GRIS PLOMO - - 2 ALMOHADA OBSEQUIO -","240,00",1,8%,"220,80",
CO2511-3189,3801,6,643 - MILANO - MUNDOFLEX - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3189,3801,7,COLCHONES - MILANO - MUNDOFLEX - MATRIMONIAL -,"400,00",1,10%,"360,00",
CO2511-4223,3802,1,"528 - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-4223,3802,2,1039 - TRACKER,"40,00",1,,"40,00",
CO2511-4223,3802,3,1037 - HUMO,"0,00",1,,"0,00",
CO2511-4223,3802,4,"CAMAS - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90 - TRACKER - HUMO - - -","570,00",1,,"570,00",
CO2511-4029,3803,1,"03 - BOX SOLO QUEEN 1,60 x 1,90","0,00",1,,"0,00",
CO2511-4029,3803,2,403 - LINO T,"0,00",1,,"0,00",
CO2511-4029,3803,3,418 - AZUL,"0,00",1,,"0,00",
CO2511-4029,3803,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-4029,3803,5,"CAMAS - BOX SOLO QUEEN 1,60 x 1,90 - LINO T - gris plomo - PATAS DECORATIVAS - -","210,00",1,,"210,00",
CO2511-4029,3803,6,632 - ROTTERDAM - LATINFLEX - QUEEN,"0,00",1,,"0,00",
CO2511-4029,3803,7,COLCHONES - ROTTERDAM - LATINFLEX - QUEEN -,"550,00",1,,"550,00",
CO2511-4029,3803,8,736 - MIAMI 70,"0,00",1,,"0,00",
CO2511-4029,3803,9,CENTROS DE TV - - MIAMI 70,"415,00",1,,"415,00",
CO2511-4029,3803,10,557 - TOKIO CABEZALES RECLINABLES CHEILO IZQUIERDO,"0,00",1,,"0,00",
CO2511-4029,3803,11,5532 - TEUSAQUILLO,"90,00",1,,"90,00",
CO2511-4029,3803,12,422 - BEIGE 1,"0,00",1,,"0,00",
CO2511-4029,3803,13,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2511-4029,3803,14,MUEBLES - TOKIO CABEZALES RECLINABLES CHEILO IZQUIERDO - TEUSAQUILLO - BEIGE 1 - PATAS TIPO L - cheilon izquierdo viendo de frente,"820,00",1,,"820,00",
CO2511-3190,3804,1,538 - SOFACAMA CAMILA,"0,00",1,,"0,00",
CO2511-3190,3804,2,403 - LINO T,"0,00",1,,"0,00",
CO2511-3190,3804,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2511-3190,3804,4,MUEBLES - SOFACAMA CAMILA - LINO T - GRIS PLOMO - -,"600,00",1,30%,"420,00",
CO2511-3191,3805,1,62 - BL + CHOCOLATE + MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3191,3805,2,386 - BIPIEL BUFALO,"42,00",1,,"42,00",
CO2511-3191,3805,3,731 - GRIS OSCURO,"0,00",1,,"0,00",
CO2511-3191,3805,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3191,3805,5,CAMAS - BL + CHOCOLATE + MATRIMONIAL - BIPIEL BUFALO - GRIS OSCURO - PATAS DECORATIVAS - -,"244,00",1,10%,"219,60",
CO2511-3201,3806,1,1999-97 - 1999-97 MAXEL Escocia 4 puertas 2 gavetas negro,"0,00",1,,"0,00",
CO2511-3201,3806,2,CLOSET - 1999-97 MAXEL Escocia 4 puertas 2 gavetas negro,"334,00",1,10%,"300,60",
CO2511-3206,3807,1,785 - ECOFLEX 1 PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3206,3807,2,COLCHONES - ECOFLEX 1 PILLOW - COBARCA - MATRIMONIAL -,"320,00",1,,"320,00",
CO2511-3192,3808,1,51 - BL + ABSTRACTO sh QUEEN,"0,00",1,,"0,00",
CO2511-3192,3808,2,912 - YORKIE,"25,00",1,,"25,00",
CO2511-3192,3808,3,436 - GRIS,"0,00",1,,"0,00",
CO2511-3192,3808,4,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2511-3192,3808,5,CAMAS - dt + modelo egipcio ver foto referencial con gerardo QUEEN - YORKIE - GRIS - PATAS TIPO L - DIVISION EN 2,"384,48",1,,"384,48",
CO2511-3192,3808,6,1000 - SERVICIO DELIVERY,"0,00",1,,"0,00",
CO2511-3192,3808,7,DELIVERY - SERVICIO DELIVERY,"15,00",1,,"15,00",
CO2511-3166,3770,1,435 - MUEBLE 2 PUESTOS PERLA,"0,00",1,,"0,00",
CO2511-3166,3770,2,399 - ISABELLA,"0,00",1,,"0,00",
CO2511-3166,3770,3,438 - GRIS MEDIO,"0,00",1,,"0,00",
CO2511-3166,3770,4,MUEBLES - MUEBLE 2 piezas monaco - ottoman- GRIS plomo - imagen de referencia,"603,45",1,,"603,45",
CO2511-3798,3771,1,"10 - BL + BARCELONA MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-3798,3771,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3798,3771,3,450 - NEGRO,"0,00",1,,"0,00",
CO2511-3798,3771,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3798,3771,5,581 - BOX MAS GRUESO,"0,00",1,,"0,00",
CO2511-3798,3771,6,"CAMAS - BL + BARCELONA MATRIMONIAL 1,40 x 1,90 - OTTOMAN - NEGRO - PATAS DECORATIVAS - Dividido en 2","240,00",1,,"240,00",
CO2511-3798,3771,7,782 - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3798,3771,8,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL -,"275,00",1,,"275,00",
CO2511-3170,3772,1,"901 - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2511-3170,3772,2,383 - TAPI SWEET (CASTILLO),"0,00",1,,"0,00",
CO2511-3170,3772,3,374 - AZUL OSCURO,"0,00",1,,"0,00",
CO2511-3170,3772,4,581 - BOX MAS GRUESO,"0,00",1,,"0,00",
CO2511-3170,3772,5,"CAMAS - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90 - TAPI SWEET (CASTILLO) - AZUL OSCURO - - - BOX MAS GRUESO y acolchado","280,00",1,10%,"252,00",
CO2511-3713,3773,1,601 - ARUBA - LATINFLEX - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3713,3773,2,COLCHONES - - bamboo semi ortopedico goma - MATRIMONIAL,"230,00",1,,"230,00",
CO2511-3171,3774,1,"10 - BL + BARCELONA MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-3171,3774,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3171,3774,3,450 - NEGRO,"0,00",1,,"0,00",
CO2511-3171,3774,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3171,3774,5,"CAMAS - BL + BARCELONA MATRIMONIAL 1,40 x 1,90 - OTTOMAN - NEGRO - PATAS DECORATIVAS - -","240,00",1,30%,"168,00",
CO2511-3171,3774,6,798 - DELUXE 2 PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3171,3774,7,COLCHONES - DELUXE 2 PILLOW - COBARCA - MATRIMONIAL -,"415,00",1,30%,"290,50",
(PROV3775),3775,1,"23 - BL + CAPITONEADO ESCONDIDO QUEEN 1,60 x 1,90",,0.00,,,
(PROV3775),3775,2,393 - OTTOMAN,,0.00,,,
(PROV3775),3775,3,422 - BEIGE 1,,0.00,,,
(PROV3775),3775,4,"CAMAS - BL + CAPITONEADO ESCONDIDO QUEEN 1,60 x 1,90 - OTTOMAN - BEIGE 1 - - -",,305.00,,,
(PROV3775),3775,5,1000 - SERVICIO DELIVERY,,0.00,,,
(PROV3775),3775,6,DELIVERY - SERVICIO DELIVERY,,10.00,,,
CO2511-3194,3776,1,30206-4 - 30206-4 DORIPEL Rivera 6 puertas 2 gavetas blanco,"0,00",1,,"0,00",
CO2511-3194,3776,2,CLOSET - 30206-4 DORIPEL Rivera 6 puertas 2 gavetas blanco,"365,00",1,10%,"328,50",
CO2511-3172,3777,1,1999-97 - 1999-97 MAXEL Escocia 4 puertas 2 gavetas negro,"0,00",1,,"0,00",
CO2511-3172,3777,2,CLOSET - 1999-97 MAXEL Escocia 4 puertas 2 gavetas negro,"330,00",1,,"330,00",
CO2511-4042,3778,1,"06 - BL + ITALO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-4042,3778,2,383 - TAPI SWEET (CASTILLO),"0,00",1,,"0,00",
CO2511-4042,3778,3,382 - KHAKI STAR,"0,00",1,,"0,00",
CO2511-4042,3778,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-4042,3778,5,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2511-4042,3778,6,"CAMAS - BL + ITALO MATRIMONIAL 1,40 x 1,90 - TAPI SWEET (CASTILLO) - KHAKI STAR - PATAS DECORATIVAS - 2 ALMOHADA OBSEQUIO -","240,00",1,,"240,00",
CO2511-4042,3778,7,782 - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-4042,3778,8,COLCHONES - ECOFLEX 1 PILLOW - COBARCA - MATRIMONIAL -,"320,00",1,,"320,00",
CO2511-3173,3779,1,44 - BL + LINEAL VERTICAL SIN MARCO KING,"0,00",1,,"0,00",
CO2511-3173,3779,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3173,3779,3,731 - GRIS OSCURO,"0,00",1,,"0,00",
CO2511-3173,3779,4,CAMAS - BL + LINEAL VERTICAL SIN MARCO KING - OTTOMAN - GRIS OSCURO - - -,"365,00",1,,"365,00",
CO2511-3174,3780,1,504 - DIEGO CHEILO DERECHO,"0,00",1,,"0,00",
CO2511-3174,3780,2,1039 - TRACKER,"106,04",1,,"106,04",
CO2511-3174,3780,3,416 - ALUMINIO,"0,00",1,,"0,00",
CO2511-3174,3780,4,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2511-3174,3780,5,MUEBLES - DIEGO CHEILO DERECHO - TRACKER - ALUMINIO - PATAS TIPO L -,"730,00",1,10%,"657,00",
CO2511-3175,3781,1,"528 - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-3175,3781,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3175,3781,3,425 - BEIGE CLARO,"0,00",1,,"0,00",
CO2511-3175,3781,4,"CAMAS - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90 - OTTOMAN - BEIGE CLARO - - -","570,00",1,30%,"399,00",
CO2511-3175,3781,5,DELIVERY -,"21,00",1,,"21,00",
CO2511-4019,3782,1,1050 - COMEDOR ALASKA 4 PTOS,"0,00",1,,"0,00",
CO2511-4019,3782,2,COM IMPORTADOS - COMEDOR Mesa Paris igual mantiene las 4 sillas Alaska en lino,"565,00",1,,"565,00",
CO2511-3176,3783,1,782 - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3176,3783,2,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL -,"275,00",1,,"275,00",
CO2511-3176,3783,3,"1026 - BL + ITALO PROMO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-3176,3783,4,1039 - TRACKER,"30,00",1,,"30,00",
CO2511-3176,3783,5,1037 - HUMO,"0,00",1,,"0,00",
CO2511-3176,3783,6,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2511-3176,3783,7,"CAMAS - BL + ITALO PROMO MATRIMONIAL 1,40 x 1,90 - TRACKER - HUMO - - 2 ALMOHADA OBSEQUIO -","175,00",1,,"175,00",
CO2511-4023,3784,1,87 - DT + CAPITONEADO CRISTALES QUEEN,"0,00",1,,"0,00",
CO2511-4023,3784,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-4023,3784,3,422 - BEIGE 1,"0,00",1,,"0,00",
CO2511-4023,3784,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-4023,3784,5,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2511-4023,3784,6,59000-4 DORIPEL Panama 4 puertas 3 gavetas blanco,"455,00",1,,"455,00",
CO2511-4023,3784,7,624 - GRANADA - LATINFLEX - QUEEN,"0,00",1,,"0,00",
CO2511-4023,3784,8,COMISION OR CAMBIO DE PEDIDO,"10,00",1,,"10,00",
CO2511-3177,3786,1,624 - GRANADA - LATINFLEX - QUEEN,"0,00",1,,"0,00",
CO2511-3177,3786,2,COLCHONES - GRANADA - LATINFLEX - QUEEN -,"415,00",1,30%,"290,50",
CO2511-3177,3786,3,"295 - BL CON GAVETAS + ABSTRACTO QUEEN 1,60 x 1,90","0,00",1,,"0,00",
CO2511-3177,3786,4,390 - LINO,"0,00",1,,"0,00",
CO2511-3177,3786,5,450 - NEGRO,"0,00",1,,"0,00",
CO2511-3177,3786,6,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3177,3786,7,"CAMAS - BL CON GAVETAS + ABSTRACTO QUEEN 1,60 x 1,90 - LINO - NEGRO - PATAS DECORATIVAS - -","485,00",1,30%,"339,50",
CO2511-3178,3787,1,"165 - DUPLEX BL + LINEAL VERTICAL SIN MARCO INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2511-3178,3787,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3178,3787,3,437 - GRIS CLARO,"0,00",1,,"0,00",
CO2511-3178,3787,4,"CAMAS - DUPLEX BL + LINEAL VERTICAL SIN MARCO INDIVIDUAL 1,00 x 1,90 - OTTOMAN - GRIS CLARO - - -","370,00",1,10%,"333,00",
CO2511-3179,3788,1,"901 - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2511-3179,3788,2,5532 - TEUSAQUILLO,"35,00",1,,"35,00",
CO2511-3179,3788,3,457 - ROSA,"0,00",1,,"0,00",
CO2511-3179,3788,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3179,3788,5,"CAMAS - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90 - TEUSAQUILLO - ROSA - PATAS DECORATIVAS - -","250,00",1,10%,"225,00",
CO2511-3411,3789,1,610 - ALASKA - MUNDOFLEX - INDIVIDUAL,"0,00",1,,"0,00",
CO2511-3411,3789,2,COLCHONES - - ALASKA - MUNDOFLEX - INDIVIDUAL,"200,00",1,,"200,00",
CO2511-3180,3790,1,2001-56 - 2001-56 MAXEL Escocia 6 puertas 2 gavetas capuccino c/ blanco,"0,00",1,,"0,00",
CO2511-3180,3790,2,CLOSET - 2001-56 MAXEL Escocia 6 puertas 2 gavetas capuccino c/ blanco,"445,00",1,,"445,00",
CO2511-3181,3791,1,86 - DT + CAPITONEADO CRISTALES MATRIMONIAL,"0,00",1,,"0,00",
CO2511-3181,3791,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3181,3791,3,420 - AZUL REY,"0,00",1,,"0,00",
CO2511-3181,3791,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3181,3791,5,CAMAS - DT + CAPITONEADO CRISTALES MATRIMONIAL - OTTOMAN - AZUL REY - PATAS DECORATIVAS - -,"333,34",1,10%,"300,01",
CO2511-3182,3792,1,515 - MAX CABEZALES RECLINABLES CHEILO DERECHO,"0,00",1,,"0,00",
CO2511-3182,3792,2,391 - LINO G - LATINFLEX,"0,00",1,,"0,00",
CO2511-3182,3792,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2511-3182,3792,4,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2511-3182,3792,5,"MUEBLES - MAX CABEZALES RECLINABLES CHEILO DERECHO - LINO G - LATINFLEX - GRIS PLOMO - PATAS TIPO L - lino G#8 segunda opción de tela Gris Acero de lino unicolor*imagen de referencia* - con medidas especiales 2,30 mts al largo y en el cheilon 1,60 mts","865,00",1,30%,"605,50",
CO2511-3183,3793,1,"529 - BOX ENCAJONADO + MODELO MONACO QUEEN 1,60 x 1,90","0,00",1,,"0,00",
CO2511-3183,3793,2,393 - OTTOMAN,"65,00",1,,"65,00",
CO2511-3183,3793,3,422 - BEIGE 1,"0,00",1,,"0,00",
CO2511-3183,3793,4,"CAMAS - BOX ENCAJONADO + MODELO MONACO QUEEN 1,60 x 1,90 - extra blanco","680,00",1,30%,"476,00",
CO2511-3183,3793,5,"06 - BL + ITALO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-3183,3793,6,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3183,3793,7,437 - GRIS CLARO,"0,00",1,,"0,00",
CO2511-3183,3793,8,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3183,3793,9,"CAMAS - BL + ITALO MATRIMONIAL 1,40 x 1,90 - OTTOMAN - GRIS CLARO - PATAS DECORATIVAS - -","240,00",1,30%,"168,00",
CO2511-3183,3793,10,DELIVERY -,"29,11",1,,"29,11",
CO2511-3197,3794,1,"03 - BOX SOLO QUEEN 1,60 x 1,90","0,00",1,,"0,00",
CO2511-3197,3794,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-3197,3794,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2511-3197,3794,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2511-3197,3794,5,"CAMAS - BOX SOLO QUEEN 1,60 x 1,90 - OTTOMAN - GRIS PLOMO - PATAS DECORATIVAS - -","210,00",1,10%,"189,00",
CO2511-3197,3794,6,786 - ECOFLEX 1 PILLOW - COBARCA - QUEEN,"0,00",1,,"0,00",
CO2511-3197,3794,7,COLCHONES - ECOFLEX 1 PILLOW - COBARCA - QUEEN -,"370,00",1,10%,"333,00",
CO2511-4031,3763,1,"528 - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2511-4031,3763,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2511-4031,3763,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2511-4031,3763,4,"CAMAS - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90 - OTTOMAN - GRIS PLOMO - - -","570,00",1,,"570,00",
(PROV3764),3764,1,"02 - BOX SOLO MATRIMONIAL 1,40 x 1,90",,0.00,,,
(PROV3764),3764,2,390 - LINO,,0.00,,,
(PROV3764),3764,3,439 - GRIS PLOMO,,0.00,,,
(PROV3764),3764,4,407 - PATAS DECORATIVAS,,0.00,,,
(PROV3764),3764,5,"CAMAS - BOX SOLO MATRIMONIAL 1,40 x 1,90 - LINO - GRIS PLOMO - PATAS DECORATIVAS - -",30%,120.40,,,
(PROV3764),3764,6,698 - BONAIRE - LATINFLEX - MATRIMONIAL,,0.00,,,
